ID,Severity,Distance(mi),City,State,Zipcode
A-4134565,2,0.369,Fairfax,VA,22030
A-1397490,2,0.25,San Jose,CA,95110
A-2513097,3,0,Swartz Creek,MI,48473
A-4262231,2,0.023,Grants Pass,OR,97527-4355
A-4909453,2,1.357,Rochester,MN,55902
A-2828517,3,0,Denver,CO,80222
A-5698578,2,0.101,Miami,FL,33174-1630
A-5180105,2,2.873,Laguna Hills,CA,92653
A-3353713,2,0,Capitol Heights,MD,20743
A-4865897,2,0.178,Lompoc,CA,93436-1127
A-2087987,3,0,Lynchburg,SC,29080
A-7393861,2,0.089,Salem,OR,97305-9607
A-2663794,2,0,Charlotte,NC,28204
A-4509615,2,0.421,North Salt Lake,UT,84054
A-3673,3,0,San Pablo,CA,94806
A-1260958,2,0,Greenville,SC,29615
A-5678406,2,3.15,San Leandro,CA,94578
A-1393142,2,0,San Jose,CA,95118
A-4640597,2,2.382,Portland,OR,97220
A-3673720,2,0.738,Zephyr Cove,NV,89448
A-4253619,2,0.163,Miami,FL,33147-1747
A-3597976,4,0.256,Hunker,PA,15639
A-107244,3,0.01,Colton,CA,92324
A-2199880,3,0,Nashville,TN,37210
A-1035057,3,1.0599999427795408,Chester,PA,19013
A-4092424,2,0.104,Brooklyn,NY,11225
A-1799739,2,0,Nashville,TN,37209-5010
A-4597085,2,0.023,Missoula,MT,59808
A-4179776,2,3.728,Daytona Beach,FL,32124
A-1060507,3,0,Fontana,CA,92336
A-2379752,3,0.3600000143051147,Dayton,OH,45405
A-979635,2,0,Patterson,CA,95363
A-359181,2,0.01,Fort Myers,FL,33913
A-818766,2,0,Raleigh,NC,27615
A-2305158,2,0,Augusta,GA,30906-3520
A-5042546,2,0.067,Shingletown,CA,96088-9821
A-5922107,2,0.069,Onamia,MN,56359-2021
A-700025,3,0,Saint Petersburg,FL,33712
A-3945061,2,0.8809999999999999,Columbus,OH,43085
A-3786743,2,0.064,Miami,FL,33155
A-1152465,3,0,Bloomington,IL,61701
A-5892608,2,0.042,Oak View,CA,93022-9205
A-6246451,2,0.061,Phoenix,AZ,85019
A-450128,2,0.02,Corbin City,NJ,08270-2556
A-1064948,2,0,Dorchester Center,MA,02124-1324
